SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT02,School 6,1,1,1,0,7,6,2.48305139993317,6.399422199931,999,999,5.6078431372549,3.0990099009901
AMYR21PT02,Sleepy pose 2,1,1,0,0,4,3,3.78304250002839,8.5160889000399,999,999,3.63725490196078,2.6039603960396
AMYR21PT02,Car crash 1,1,1,0,1,2,1,6.73279999999795,10.0491506999824,999,999,1.85294117647059,4.55445544554455
AMYR21PT02,Fireworks 3,1,1,1,1,4,4,4.14965779997874,6.732708800002,999,999,6.08823529411765,4.63366336633663
AMYR21PT02,Fireman 1,1,0,0,1,4,5,3.53329030005261,14.5324041000567,999,999,3.09803921568627,4.86138613861386
AMYR21PT02,Mother 6,1,0,1,1,7,7,1.58333229995333,2.86646199994721,999,999,6.07843137254902,4.44554455445545
AMYR21PT02,Toilet 4,1,0,0,0,1,1,4.59960349998437,6.34950620005839,999,999,2.53465346534653,3.15533980582524
AMYR21PT02,Barbeque 1,1,0,1,0,4,4,5.96615610003937,8.9659105000319,999,999,4.7156862745098,3.07920792079208
AMYR21PT02,Massage 2,1,1,1,1,5,5,3.8829798999941,7.86592289991677,999,999,5.75490196078431,4.11881188118812
AMYR21PT02,Destruction 7,1,1,0,0,4,2,6.86606060003396,10.2158328000223,999,999,2.00990099009901,3.85436893203884
AMYR21PT02,Car accident 1,1,1,0,1,4,2,6.46615530003328,9.11595460004173,999,999,2.14705882352941,4.0990099009901
AMYR21PT02,Camping 4,1,1,1,0,7,6,5.31649510003626,7.51639690005686,999,999,5.65686274509804,3.22772277227723
AMYR21PT02,Gun 8,1,0,0,0,4,4,2.53307939996012,6.48281259997748,999,999,3.07920792079208,3.94174757281553
AMYR21PT02,Parasailing 2,1,0,1,1,5,6,9.43254960002378,10.9491444999585,999,999,5.12871287128713,4.3495145631068
AMYR21PT02,Shooting 1,1,0,0,1,3,2,3.81631340004969,5.83279120002408,999,999,3.34313725490196,4.42574257425743
AMYR21PT02,Band 2,1,0,1,0,6,7,3.2496660000179,6.19944200001191,999,999,5.15686274509804,3.84158415841584
AMYR21PT02,Dancing 9,1,1,1,0,7,7,2.79972429992631,5.38288299995475,999,999,5.58415841584158,3.83495145631068
AMYR21PT02,Camping 9,1,1,0,0,5,5,4.23303220001981,9.36590390000492,999,999,3.99019607843137,3.4950495049505
AMYR21PT02,Dead bodies 1,1,1,0,1,1,1,2.26673190004658,3.74988790007774,999,999,1.1980198019802,4.51456310679612
AMYR21PT02,Rafting 2,1,1,1,1,7,7,2.13329199992586,3.73295959993266,999,999,4.82352941176471,4.82178217821782
AMYR21PT02,Thunderstorm 6,1,0,1,1,6,6,4.61627960007172,6.5328192000743,999,999,4.50925925925926,4.50961538461539
AMYR21PT02,Sad pose 3,1,0,0,0,4,4,7.09938589995727,8.43263860000297,999,999,2.87037037037037,3.74038461538462
AMYR21PT02,Happy pose 2,1,0,1,0,6,6,4.43299320002552,5.69948109996039,999,999,5.6078431372549,3.93069306930693
AMYR21PT02,Fire 11,1,0,0,1,1,1,3.56635920004919,6.56605820008554,999,999,1.75490196078431,5.31683168316832
AMYR21PT02,Destruction 9,1,1,0,0,1,4,4.14964670001063,15.5320228000637,999,999,3.55555555555556,2.48543689320388
AMYR21PT02,Camping 1,1,1,1,0,7,7,2.66671969997697,10.3994607999921,999,999,5.6039603960396,3.25242718446602
AMYR21PT02,Skydiving 4,1,1,1,1,7,7,2.08327329996973,4.99956909997854,999,999,5.3921568627451,4.3960396039604
AMYR21PT02,Destruction 8,1,1,0,1,1,1,3.96641939994879,9.33257029997185,999,999,2.23529411764706,4.22772277227723
AMYR21PT02,Dancing 8,1,0,1,0,7,7,3.14974730007816,4.61641290003899,999,999,5.31372549019608,3.40594059405941
AMYR21PT02,Rollercoaster 2,1,0,1,1,4,6,4.96630100009497,10.5657732000109,999,999,5.37254901960784,5.11881188118812
AMYR21PT02,Frustrated pose 7,1,0,0,0,3,4,7.89923370000906,15.5318925000029,999,999,2.69607843137255,3.25
AMYR21PT02,War 4,1,0,0,1,1,5,4.98321059998125,11.2160782000283,999,999,2.97058823529412,4.78217821782178
AMYR21PT02,Dancing 7,1,1,1,0,7,7,1.46660680009518,2.8164399000816,999,999,5.87037037037037,3.375
AMYR21PT02,Flood 2,1,1,0,0,4,5,8.11593830003403,13.3155420999974,999,999,2.35643564356436,3.85436893203884
